Event,Orig. Time,Adj. Time,Discarded,Flagged,Last Event
0,113.54044568245125,113.54044568245125,0,0,0
1,114.06827298050139,114.06827298050139,0,0,0
2,115.38261838440113,115.38261838440113,0,0,0
3,115.88905292479109,115.88905292479109,0,0,0
4,116.32972144846796,116.32972144846796,0,0,0
5,116.69607242339833,116.69607242339833,1,0,0
6,nan,118.67498601310903,1,0,0
7,118.8,118.8376548153286,0,0,0
8,123.64537604456825,123.64537604456825,0,0,0
9,124.26,124.26,1,0,0
10,125.33392757660167,125.33392757660167,0,0,0
11,125.88841225626742,125.88841225626742,0,0,0
12,127.14,127.20175389713891,0,0,0
13,127.72,127.72,0,0,0
14,128.24,128.24,0,0,1
15,129.06233983286907,129.06233983286907,0,0,0
16,129.56,129.56,0,0,0
17,130.05,130.05,0,0,0
18,130.49,130.49,0,0,0
19,131.17,131.17,0,0,0
20,137.21,137.21,0,0,0
21,138.86,138.86,0,0,0
22,140.3910306406685,140.3910306406685,0,0,0
23,142.24378830083566,142.24378830083566,0,0,0
24,143.27,143.27,0,0,0
25,143.64,143.64,0,0,0
26,146.09958217270196,146.09958217270196,0,0,0
27,148.13,148.13,0,0,0
28,152.98,152.98,0,0,0
29,153.75,153.75,0,0,0
30,155.68,155.68,0,0,0
31,160.42,160.42,0,0,0
32,160.92573816155988,160.92573816155988,0,0,0
33,162.4992479108635,162.4992479108635,0,0,0
34,163.21,163.21,0,0,0
35,163.66,163.66,0,0,0
36,164.5448467966574,164.5448467966574,0,0,0
37,167.54,167.54,0,0,0
38,168.72,168.72,0,0,0
39,171.52537604456825,171.52537604456825,0,0,0
40,172.386573816156,172.386573816156,0,0,0
41,173.0468245125348,173.0468245125348,0,0,0
42,173.64,173.64,0,0,0
43,176.62972144846796,176.62972144846796,0,0,0
44,179.63406685236768,179.63406685236768,0,0,0
45,179.81788300835655,179.81788300835655,0,0,0
46,181.42,181.42,0,0,0
47,181.76,181.76,0,0,0
48,216.73,216.73,0,0,0
49,217.3167688022284,217.3167688022284,0,0,0
50,218.34,218.34,0,0,0
51,221.18208913649025,221.18208913649025,0,0,0
52,222.28,222.28,0,0,0
53,222.53,222.53,0,0,0
54,223.0410306406685,223.0410306406685,0,0,0
55,229.2439275766017,229.2439275766017,0,0,0
56,229.83,229.83,0,0,0
57,230.5,230.5,0,0,0
58,230.83,230.83,0,0,0
59,231.63,231.63,0,0,0
60,233.01,233.01,0,0,0
61,244.94261838440113,244.94261838440113,0,0,0
62,245.62272980501393,245.62272980501393,0,0,0
63,245.61,245.61,0,0,0
64,247.3,247.3,0,0,0
65,247.56710306406686,247.56710306406686,0,0,0
66,248.8,248.8,0,0,0
